名称,区域,地址,风格,主打酒种,酒价格区间(元),人均(元),评分,口碑摘要,近期活动,营业时间,适合场景
Sober Company,外滩,南京东路139号外滩中央广场,日式酒吧,鸡尾酒/威士忌,88-158,200,4.7,氛围精致服务好适合约会,周五周六有DJ驻场,18:00-02:00,约会/商务
The Nest,外滩,中山东一路32号外滩源,生蚝吧+酒吧,葡萄酒/生蚝,68-128,300,4.6,生蚝新鲜江景无敌价格偏高,周日生蚝半价,16:00-01:00,约会/江景
Speak Low,复兴中路,复兴中路579号,隐藏式酒吧,创意鸡尾酒,98-168,250,4.8,亚洲50佳酒吧入口隐蔽要预约,周三女士之夜,19:00-02:00,约会/打卡
Flask,永福路,永福路121号,地下酒吧,创意鸡尾酒,88-148,220,4.7,环境神秘酒单创意,每月换新酒单,18:00-02:00,朋友聚会/打卡
Epic,高邮路,高邮路17号,威士忌吧,威士忌,78-128,180,4.6,威士忌种类多老板懂酒,周四威士忌品鉴,18:00-01:00,威士忌爱好者
Le Verre à Vin,建国西路,建国西路456号,法式小酒馆,葡萄酒/自然酒,58-108,150,4.6,自然酒选择多氛围轻松,周一二三酒杯特价,17:00-00:00,下班小酌/葡萄酒
KRU,衡山路,衡山路99号,现代酒吧,鸡尾酒,78-138,200,4.7,设计感强出品稳定,周五live音乐,18:00-02:00,朋友聚会
Evening Standard,武定路,武定路881号,精酿酒吧,精酿啤酒,48-88,120,4.5,精酿种类多价格实惠,周一大杯特价,17:00-01:00,下班/精酿爱好者
GOOSE ISLAND 鹅岛,武定路,武定路966号,精酿餐吧,精酿啤酒/餐食,58-108,180,4.5,精酿经典美式餐食,周五周六happy hour,11:00-01:00,朋友聚会/看球
拳击猫 Boxing Cat,复兴西路,复兴西路82号,精酿餐吧,精酿啤酒,58-118,160,4.6,精酿赛事氛围好,周日精酿盲品赛,11:00-00:00,朋友聚会
The Cannery,愚园路,愚园路1107号,罐头厂主题酒吧,鸡尾酒/葡萄酒,88-158,250,4.6,工业风独特打卡拍照,周四鸡尾酒特调,18:00-02:00,打卡/约会
Mardi Gras,巨鹿路,巨鹿路616号,威士忌吧,威士忌,88-168,230,4.7,氛围高端威士忌收藏丰富,不定期品鉴会,19:00-02:00,商务/威士忌
Bar No.3,安福路,安福路322号,社区酒吧,鸡尾酒/自然酒,68-128,170,4.7,社区氛围轻松适合闲聊,周二红酒之夜,17:00-01:00,下班闲聊
Oha Eatery,安福路,安福路382号,餐酒吧,创意饮品/餐食,68-128,200,4.6,贵州风味餐食独特,周六早午餐,11:00-23:00,早午餐/小聚
Commune Social,江宁路,江宁路511号,餐酒吧,鸡尾酒/餐食,78-138,220,4.6,庭院环境优美,周末早午餐,11:00-23:00,约会/早午餐
Suzie's Garden,武康路,武康路105号,花园餐吧,葡萄酒/餐食,88-168,260,4.7,花园用餐环境浪漫,周日早午餐,11:00-23:00,约会
RADAR,静安寺,愚园路88号,隐藏酒吧,鸡尾酒,98-168,240,4.7,新锐调酒师出品惊艳,每月主题酒单,19:00-02:00,约会/打卡
KEE Club,静安寺,南京西路1601号,高端俱乐部,威士忌/鸡尾酒,128-268,400,4.7,高端会所私密性强,会员制活动,18:00-02:00,商务/高端
Atelier,前滩,前滩太古里L4,现代酒吧,鸡尾酒,98-178,250,4.6,环境现代视野开阔,周五DJ,18:00-01:00,约会/前滩
Bacchus,前滩,前滩大道399号,葡萄酒吧,葡萄酒,68-128,180,4.5,葡萄酒选择多性价比高,周四品鉴会,17:00-00:00,葡萄酒爱好者
Brownstone Tapas,武定路,武定路898号,西班牙餐吧,桑格利亚/餐食,58-108,160,4.5,西班牙小吃配酒绝佳,周日西班牙之夜,11:00-00:00,朋友聚会
DEUS,巨鹿路,巨鹿路881号,精酿酒吧,精酿啤酒,48-88,110,4.4,社区精酿价格亲民,周三精酿半价,16:00-00:00,精酿爱好者
Tap House,静安寺,愚园路260号,精酿酒吧,精酿啤酒,42-78,100,4.4,精酿种类多环境轻松,周一精酿特价,16:00-01:00,下班小酌
UVA Wine Bar,安福路,安福路229号,葡萄酒吧,葡萄酒,68-138,190,4.6,自然酒收藏多氛围文艺,周二自然酒品鉴,17:00-00:00,葡萄酒/文艺
The Press,外滩,汉口路309号,报馆主题酒吧,鸡尾酒,88-158,230,4.6,老建筑改造有故事感,周五主题夜,18:00-01:00,约会/打卡
Cafe Sambal,安福路,安福路295号,东南亚餐吧,鸡尾酒/餐食,68-128,180,4.5,东南亚风味独特,周六东南亚之夜,11:00-23:00,朋友聚会
Blue Frog,静安寺,南京西路1788号,美式餐吧,啤酒/餐食,48-98,140,4.4,连锁稳定适合多人,周一汉堡特价,11:00-23:00,多人聚会/看球
HOMESLICE,前滩,前滩晶耀广场,披萨餐吧,啤酒/披萨,42-88,120,4.5,纽约披萨正宗,周末早午餐,11:00-22:00,朋友聚会/家庭
Precedent,安福路,安福路322号2楼,隐藏酒吧,创意鸡尾酒,98-168,240,4.7,精品鸡尾酒调酒师名头响,预约制,19:00-02:00,约会/打卡
The Union Trading Company,衡山路,衡山路64号,社区酒吧,鸡尾酒,68-128,180,4.6,社区感强服务热情,周中小酌优惠,17:00-01:00,下班闲聊
